1	2	3	4	5	6	7	8	9	10
CHTR	MAR	SJM	CFG	V	RMD	HWM	AMAT	SMCI	DOC
CMCSA	MCD	STZ	CINF	WFC	RVTY	IEX	AMD	SNDK	EQIX
DIS	MGM	SYY	CME	WRB	SOLV	IR	ANET	SNPS	EQR
EA	NCLH	TAP	COF	WTW	STE	ITW	APH	STX	ESS
FOX	NKE	TGT	COIN	XYZ	SYK	J	APP	SWKS	EXR
FOXA	NVR	TSN	CPAY	A	TECH	JBHT	AVGO	TDY	FRT
GOOG	ORLY	WMT	EG	ABBV	TMO	JCI	CDNS	TEL	HST
GOOGL	PHM	APA	ERIE	ABT	UHS	LDOS	CDW	TER	INVH
LYV	POOL	BKR	FDS	ALGN	UNH	LHX	CIEN	TRMB	IRM
META	RCL	COP	FIS	AMGN	VRTX	LII	CRM	TXN	KIM
MTCH	RL	CTRA	FISV	BAX	VTRS	LMT	CRWD	TYL	MAA
NFLX	ROST	CVX	FITB	BDX	WAT	LUV	CSCO	VRSN	O
NWS	SBUX	DVN	GL	BIIB	WST	MAS	CTSH	WDAY	PLD
NWSA	TJX	EOG	GPN	BMY	ZBH	MMM	DDOG	WDC	PSA
OMC	TPR	EQT	GS	BSX	ZTS	NDSN	DELL	ZBRA	REG
PSKY	TSCO	EXE	HBAN	CAH	ADP	NOC	EPAM	ALB	SBAC
T	TSLA	FANG	HIG	CI	ALLE	NSC	FFIV	AMCR	SPG
TKO	ULTA	HAL	HOOD	CNC	AME	ODFL	FICO	APD	UDR
TMUS	WSM	KMI	IBKR	COO	AOS	OTIS	FSLR	AVY	VICI
TTD	WYNN	MPC	ICE	COR	AXON	PAYC	FTNT	BALL	VTR
TTWO	YUM	OKE	IVZ	CRL	BA	PAYX	GDDY	CF	WELL
VZ	ADM	OXY	JKHY	CVS	BLDR	PCAR	GEN	CRH	WY
WBD	BF-B	PSX	JPM	DGX	BR	PH	GLW	CTVA	AEE
ABNB	BG	SLB	KEY	DHR	CARR	PNR	HPE	DD	AEP
AMZN	CAG	TPL	KKR	DVA	CAT	PWR	HPQ	DOW	AES
APTV	CHD	TRGP	L	DXCM	CHRW	ROK	IBM	ECL	ATO
AZO	CL	VLO	MA	ELV	CMI	ROL	INTC	FCX	AWK
BBY	CLX	WMB	MCO	EW	CPRT	RSG	INTU	IFF	CEG
BKNG	COST	XOM	MET	GEHC	CSX	RTX	IT	IP	CMS
CCL	CPB	ACGL	MRSH	GILD	CTAS	SNA	JBL	LIN	CNP
CMG	DG	AFL	MS	HCA	DAL	SWK	KEYS	LYB	D
CVNA	DLTR	AIG	MSCI	HOLX	DE	TDG	KLAC	MLM	DTE
DASH	EL	AIZ	MTB	HSIC	DOV	TT	LRCX	MOS	DUK
DECK	GIS	AJG	NDAQ	HUM	EFX	TXT	MCHP	NEM	ED
DHI	HRL	ALL	NTRS	IDXX	EME	UAL	MPWR	NUE	EIX
DPZ	HSY	AMP	PFG	INCY	EMR	UBER	MSFT	PKG	ES
DRI	KDP	AON	PGR	IQV	ETN	UNP	MSI	PPG	ETR
EBAY	KHC	APO	PNC	ISRG	EXPD	UPS	MU	SHW	EVRG
EXPE	KMB	ARES	PRU	JNJ	FAST	URI	NOW	STLD	EXC
F	KO	AXP	PYPL	LH	FDX	VLTO	NTAP	SW	FE
GM	KR	BAC	RF	LLY	FIX	VRSK	NVDA	VMC	LNT
GPC	KVUE	BEN	RJF	MCK	FTV	WAB	NXPI	AMT	NEE
GRMN	LW	BK	SCHW	MDT	GD	WM	ON	ARE	NI
HAS	MDLZ	BLK	SPGI	MOH	GE	XYL	ORCL	AVB	NRG
HD	MKC	BRK-B	STT	MRK	GEV	AAPL	PANW	BXP	PCG
HLT	MNST	BRO	SYF	MRNA	GNRC	ACN	PLTR	CBRE	PEG
LEN	MO	BX	TFC	MTD	GWW	ADBE	PTC	CCI	PNW
LOW	PEP	C	TROW	PFE	HII	ADI	Q	CPT	PPL
LULU	PG	CB	TRV	PODD	HON	ADSK	QCOM	CSGP	SO
LVS	PM	CBOE	USB	REGN	HUBB	AKAM	ROP	DLR	SRE
